DRE;CODESC;TIPOESC;NOMESC;DIRETORIA;SUBPREF;CEU;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CODCIE;EH;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_FUNC;DT_AUTORIZA;NOME_ANT;T2D3D;T2D3D15;T2D3D14;T2D3D13;T2D3D12;T2D3D11;T2D3D10;T2D3D09;T2D3D08;T2D3D07;DTURNOS;DTURNOS15;DTURNOS14;DTURNOS13;DTURNOS12;DTURNOS11;DTURNOS10;DTURNOS09;DTURNOS08;DTURNOS07;LATITUDE;LONGITUDE;REDE;DATABASE
CL;000281;EMEF;VERA LUCIA FUSCO BORBA, PROFA.;CAMPO LIMPO;CAMPO LIMPO;;RUA MARTINHO LUTERO;375;JARDIM CAMPO LIMPO;05785180;58416595;58422424;;Ativa;17;CAMPO LIMPO;1701;35098607;098607;161072129000000;12/08/1988;26.617;12/08/1988;16/02/1989;09/03/1991;;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;-23624880;-46767503;DIR;28/02/2017
FO;000299;EMEF;ROBERTO PATRICIO, PROF.;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;;RUA ANTONIO DOMINGUES FREITAS;147;VILA AMELIA;02615020;22586078;;22588821;Ativa;13;CACHOEIRINHA;1304;35098358;098358;161070159000000;12/08/1988;26.616;12/08/1988;15/02/1989;16/03/1991;VILA AMELIA;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23471774;-46654797;DIR;28/02/2017
JT;000302;EMEF;HELIO FRANCO CHAVES, CEL.;JACANA/TREMEMBE;JACANA/TREMEMBE;;RUA KOTINDA;1343;JARDIM CORISCO;02365010;29952513;29927707;;Ativa;81;TREMEMBE;8103;35098371;098371;161069118000000;;;;15/02/1989;16/03/1991;;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTNG;MTNG;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23428244;-46582907;DIR;28/02/2017
CL;000311;EMEF;ANTONIO ALVES DA SILVA, SG.;CAMPO LIMPO;CAMPO LIMPO;;RUA GARCIA DE ORTA;36;PARQUE INDEPENDENCIA;05880290;58737928;;58726507;Ativa;19;CAPAO REDONDO;1907;35098632;098632;161072133000000;16/09/1988;26.916;16/09/1988;15/02/1989;09/03/1991;;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MIVN;-23683548;-46789733;DIR;28/02/2017
PE;000329;EMEBS;NEUSA BASSETTO, PROFA.;PENHA;MOOCA;;RUA TAQUARI;459;MOOCA;03166000;26946923;;26946923;Ativa;53;MOOCA;5302;35079017;079017;161074168000000;22/06/1988;26.230;22/06/1988;03/10/1988;16/03/1991;NEUSA BASSETO, PROFA.;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23551158;-46598281;DIR;28/02/2017
JT;000337;EMEBS;LUCIE BRAY, ME;JACANA/TREMEMBE;JACANA/TREMEMBE;;RUA SÃO GERALDINO;236;VILA CONSTANÇA;02258220;22405315;22401005;;Ativa;39;JACANA;3904;35079042;079042;161069103000000;;;;10/11/1988;16/03/1991;LUCIE BRAY, ME.;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23475348;-46581312;DIR;28/02/2017
SA;000388;EMEI;RAUL JOVIANO DO AMARAL;SANTO AMARO;CIDADE ADEMAR;;RUA VALENTINO FIORAVANTI;128;JARDIM RUBILENE;04475380;56740025;;56741631;Ativa;58;PEDREIRA;5803;35098553;098553;161073146000000;16/09/1988;26.917;16/09/1988;01/08/1989;16/03/1991;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23702963;-46636134;DIR;28/02/2017
SA;000418;EMEF;JOAO DE SOUZA FERRAZ, PROF.;SANTO AMARO;SANTO AMARO;;RUA RAFAEL CORREIA SAMPAIO;291;JARDIM PALMARES;04457100;56114691;56155200;;Ativa;16;CAMPO GRANDE;1604;35098536;098536;161073113000000;15/10/1988;27.109;14/10/1988;01/02/1989;16/03/1991;;2D;2D;2D;2D;3D;3D;3D;3D;3D;3D;3D;MT;MT;MT;MT;MIV;MIV;MIV;MIV;MIV;-23689499;-46675494;DIR;28/02/2017
SM;000426;EMEI;CELIA CAMARGO PENTEADO ELIAS, PROFA.;SAO MATEUS;SAO MATEUS;;RUA JOSE VIEIRA DO RIO;257;PARQUE SAO RAFAEL;08320120;20196061;;20153216;Ativa;75;SAO RAFAEL;7501;35098747;098747;161080146000000;14/10/1988;27.113;14/10/1988;15/05/1989;16/03/1991;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23629017;-46475580;DIR;28/02/2017
PJ;000434;EMEI;CLEMENTE SEGUNDO PINHO, PROF.;PIRITUBA;PIRITUBA;;RUA VIRGINIA GALILEI;100;JARDIM IPANEMA;05187060;39410593;39410593;;Ativa;42;JARAGUA;4203;35098437;098437;161071104000000;19/10/1988;27.168;19/10/1988;29/05/1989;13/03/2001;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23444008;-46750245;DIR;28/02/2017
IP;000442;EMEI;ANTONIO RUBBO MULLER, PROF.;IPIRANGA;VILA PRUDENTE;;RUA CARMINHA;123;PARQUE SAO LUCAS;03240040;29187032;;;Ativa;72;SAO LUCAS;7202;35098693;098693;161068174000000;26/10/1988;27.209;26/10/1988;15/02/1989;16/03/1991;JTO A EMPG AUREA RIBEIRO XAVIER LOPES, PROF.;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23598841;-46544618;DIR;28/02/2017
PJ;000451;EMEI;MARIA DO CARMO GODOY RAMOS, PROFA.;PIRITUBA;PIRITUBA;;RUA MIGUEL PEREIRA LANDIM;193;JARDIM JARAGUA;05158000;39049242;39067053;39067053;Ativa;95;SAO DOMINGOS;9501;35098449;098449;161071159000000;26/10/1988;27.210;26/10/1988;29/05/1989;13/03/2001;JARDIM JARAGUA, ANEXA A EMPG HENRIQUE GEISEL;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MIV;-23489533;-46756681;DIR;28/02/2017
PJ;000469;EMEI;RODOLFO TREVISAN;PIRITUBA;LAPA;;RUA SILVA AIROSA;60;VILA RIBEIRO DE BARROS;05307040;38365027;;36415262;Ativa;88;VILA LEOPOLDINA;8801;35098516;098516;161071183000000;26/10/1988;27.211;26/10/1988;13/02/1989;13/03/2001;JARDIM HUMAITA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;MT;MT;-23519917;-46741859;DIR;28/02/2017
BT;000477;EMEF;EDA TEREZINHA CHICA MEDEIROS, PROFA.;BUTANTA;BUTANTA;;RUA ENGENHEIRO HUGO TAKAHASHI;333;RAPOSO TAVARES;05563120;37820714;;37816437;Ativa;65;RAPOSO TAVARES;6504;35098474;098474;161079119000000;26/10/1988;27.212;26/10/1988;20/02/1989;16/03/1991;JARDIM EDUCANDARIO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MTN;MTN;MTN;-23602076;-46783825;DIR;28/02/2017
PE;000485;EMEF;ASSAD ABDALA;PENHA;PENHA;;AVENIDA MENDONÇA DRUMOND;902;JARDIM MARINGÁ;03524030;27811729;27812502;;Ativa;91;VILA MATILDE;9103;35098668;098668;161074176000000;27/10/1988;27.213;26/10/1988;15/02/1989;13/12/1995;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTG;MTG;MT;MT;MT;MT;MT;MT;MT;-23553203;-46517809;DIR;28/02/2017
CS;000493;EMEI;AURELIO BUARQUE DE HOLANDA FERREIRA;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA DOUTOR ARMANDO FAJARDO;400;JARDIM SÃO BERNARDO;04844590;59287612;59394789;;Ativa;30;GRAJAU;3003;35066312;066312;161075126000000;18/11/1988;27.340;18/11/1988;18/02/1991;13/03/2001;JARDIM SAO BERNARDO / JARDIM PETRONITA;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23756392;-46702787;DIR;28/02/2017
CS;000531;EMEI;MARIA EUGENIA FAKHOURY;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA CONSTELACAO DO ERIDANO;200;JARDIM CAMPINAS;04858580;55263674;55275656;;Ativa;30;GRAJAU;3004;35066291;066291;161075131000000;25/11/1988;27.370;25/11/1988;13/03/1989;16/03/1991;;2D;2D;2D;2D;2D;3D;3D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23771399;-46705051;DIR;28/02/2017
PJ;000540;EMEF;RAUL POMPEIA;PIRITUBA;PIRITUBA;;AVENIDA ELIAS ANTONIO LOPES;165;PARQUE DE TAIPAS;02986110;39415024;39415771;;Ativa;42;JARAGUA;4208;35066266;066266;161071130000000;25/11/1988;27.369;25/11/1988;28/02/1989;16/03/1991;;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23433769;-46713867;DIR;28/02/2017
IP;000558;EMEI;SENA MADUREIRA;IPIRANGA;VILA MARIANA;;RUA LOEFGREEN;1963;VILA CLEMENTINO;04040033;50844154;55492369;;Ativa;90;VILA MARIANA;9003;35066278;066278;161068173000000;30/11/1988;27.416;30/11/1988;01/08/1990;13/03/2001;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;MT;-23599760;-46644564;DIR;28/02/2017
CL;000566;EMEF;TERESA MARGARIDA DA SILVA E ORTA;CAMPO LIMPO;M'BOI MIRIM;;RUA ENGENHEIRO MILTON DE ALVARENGA PEIXOTO;20;VILA GILDA;04953040;55170577;58999876;;Ativa;43;JARDIM ANGELA;4309;35066308;066308;161072198000000;09/12/1988;27.469;09/12/1988;13/03/1989;07/11/1992;;2D;2D;2D;2D;3D;3D;3D;3D;3D;3D;3D;MTN;MTN;MTN;MTN;MIVN;MIVN;MIVN;MIVN;MIVN;-23722201;-46757039;DIR;28/02/2017
CL;000574;EMEI;ORLANDO DE ALVARENGA GAUDIO, PROF.;CAMPO LIMPO;M'BOI MIRIM;;RUA ANTÔNIO ELIAS SCHOUERI;142;PARQUE DO LAGO;04945005;55171008;;55170848;Ativa;43;JARDIM ANGELA;4306;35066285;066285;161072197000000;09/12/1988;27.470;09/12/1988;08/04/1991;07/11/1992;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23715175;-46779841;DIR;28/02/2017
SM;000892;EMEF;HENRIQUE SOUZA FILHO - HENFIL;SAO MATEUS;SAO MATEUS;;RUA ÉRICO SEMER;S/N;JARDIM MARILU;08371400;27312097;;27313204;Ativa;33;IGUATEMI;3303;35066734;066734;161080114000000;05/06/1989;27.809;05/06/1989;01/08/1989;07/11/1992;;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23598559;-46423164;DIR;28/02/2017
