DRE;CODESC;TIPOESC;NOMESC;DIRETORIA;SUBPREF;CEU;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CODCIE;EH;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_FUNC;DT_AUTORIZA;NOME_ANT;T2D3D;T2D3D15;T2D3D14;T2D3D13;T2D3D12;T2D3D11;T2D3D10;T2D3D09;T2D3D08;T2D3D07;DTURNOS;DTURNOS15;DTURNOS14;DTURNOS13;DTURNOS12;DTURNOS11;DTURNOS10;DTURNOS09;DTURNOS08;DTURNOS07;LATITUDE;LONGITUDE;REDE;DATABASE 
PJ;019195;EMEF;JOSE KAUFFMANN , DR.;PIRITUBA;PIRITUBA;;RUA SAMUEL BOVY;23;JARDIM RINCAO;02998120;39441022;39441024;39441022;Ativa;42;JARAGUA;4205;35249993;249993;161071126000000;07/09/2000;39.799;06/09/2000;04/10/2000;08/05/2007;CITY JARAGUA;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23439934;-46732765;DIR;28/02/2017
SA;019196;EMEF;LILIANE VERZINI SILVA, PROFA;SANTO AMARO;CIDADE ADEMAR;;AVENIDA FRANCESCO MARIA MELANI;S/N;JARDIM LUSO;04421180;56258594;;56256431;Ativa;22;CIDADE ADEMAR;2205;35270404;270404;161073136000000;04/10/2000;39.916;03/10/2000;08/02/2001;08/05/2007;PEDRA SOBRE PEDRA;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MTN;MTN;MTN;MTN;-23690635;-46638653;DIR;28/02/2017
CS;019197;EMEI;ANGELO KRETA;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA NOVA DELHI;560;JARDIM EDITH;04813240;56616369;56616380;;Ativa;23;CIDADE DUTRA;2304;35270398;270398;161075106000000;04/10/2000;39.917;03/10/2000;08/02/2001;08/05/2007;GUANHEMBU;3D;3D;3D;3D;3D;3D;3D;3D;3D;3D;3D;MIV;MIV;MIV;MIV;MIV;MIV;MIV;MIV;MIV;-23722685;-46686066;DIR;28/02/2017
CS;019198;CEU EMEI;MILTON SANTOS, PROF.;CAPELA DO SOCORRO;CAPELA DO SOCORRO;CIDADE DUTRA;AVENIDA INTERLAGOS;7350;CIDADE DUTRA;04777000;56681921;56681925;56681923;Ativa;23;CIDADE DUTRA;2302;35270386;270386;161075500000300;04/10/2000;39.918;03/10/2000;08/02/2001;08/05/2007;VILA SAO JOSE;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23710910;-46704661;DIR;28/02/2017
MP;019199;EMEI;CLEMENCIA FERREIRA DA SILVA;SAO MIGUEL;SAO MIGUEL;;RUA BARÃO DE CALERA;7;PARQUE CRUZEIRO DO SUL;08070050;22971303;22971303;22974571;Ativa;87;VILA JACUI;8702;35270623;270623;161077147000000;21/10/2000;39.983;20/10/2000;08/02/2001;07/05/2007;PARQUE SANTA INES;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23495512;-46466572;DIR;28/02/2017
CL;019200;EMEI;JOANA MITSUE ISHII, PROFA;CAMPO LIMPO;M'BOI MIRIM;;RUA RENÉ CASTERA;561;CHÁCARA DA ENSEADA;04963160;58966272;;58967297;Ativa;43;JARDIM ANGELA;4307;35270635;270635;161072191000000;02/11/2000;40.017;01/11/2000;12/02/2001;08/05/2007;JARDIM NOVO HORIZONTE AZUL;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23750816;-46776758;DIR;28/02/2017
MP;019201;EMEI;MARIA DA LUZ SILVA DE OLIVEIRA, PROFA.;SAO MIGUEL;SAO MIGUEL;;RUA ERVA DO SERENO;103;JARDIM MAIA;08180010;25865562;25851611;;Ativa;44;JARDIM HELENA;4404;35270647;270647;161077103000000;02/11/2000;40.018;01/11/2000;08/02/2001;08/05/2007;JARDIM SAO MARTINHO;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23483652;-46414190;DIR;28/02/2017
PJ;019202;EMEI;JULIO ALVES PEREIRA;PIRITUBA;PIRITUBA;;RUA CAROLINA CARVALHO;67;CIDADE D ABRIL;05182210;39419689;;39419699;Ativa;42;JARAGUA;4204;35271044;271044;161071113000000;13/12/2000;40.139;12/12/2000;12/02/2001;08/05/2007;CIDADE D  ABRIL;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23452962;-46746167;DIR;28/02/2017
PJ;019203;EMEI;JARDIM FELICIDADE;PIRITUBA;PIRITUBA;;RUA JULIO NICOLAU;S/N;CHACARA INGLESA;05142100;38322723;38320212;;Ativa;63;PIRITUBA;6305;35271093;271093;161071148000000;13/12/2000;40.139;12/12/2000;12/02/2001;08/05/2007;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23491888;-46727748;DIR;28/02/2017
CL;019204;EMEI;MARIA CLARA MACHADO;CAMPO LIMPO;M'BOI MIRIM;;RUA ENGENHEIRO MILTON DE ALVARENGA PEIXOTO;18;VILA GILDA;04953040;58955449;;58968522;Ativa;43;JARDIM ANGELA;4309;35271202;271202;161072194000000;13/12/2000;40.139;12/12/2000;12/02/2001;08/05/2007;PARQUE DO LAGO;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23721346;-46756427;DIR;28/02/2017
PJ;019205;EMEI;JARDIM MONTE BELO;PIRITUBA;PERUS;;RUA PALMEIRÓPOLIS;S/N;JARDIM MONTE BELO;05272005;39113496;39117589;39117589;Ativa;03;ANHANGUERA;0306;35271007;271007;161071185000000;13/12/2000;40.139;12/12/2000;15/02/2001;08/05/2007;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23444422;-46800494;DIR;28/02/2017
SM;019206;EMEI;FRANCISCO ADAUTO RODRIGUES;SAO MATEUS;SAO MATEUS;;RUA AGUARICO;5;JARDIM HELENA;08371150;27311877;;27319100;Ativa;33;IGUATEMI;3306;35271184;271184;161080106000000;13/12/2000;40.139;12/12/2000;08/02/2001;04/09/2009;JARDIM HELENA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23599555;-46448377;DIR;28/02/2017
MP;019207;EMEI;APARECIDA DE LOURDES CARRILHO JARDIM, PROFA;SAO MIGUEL;SAO MIGUEL;;RUA CORVETA JEQUITINHONHA;731;VILA PROGRESSO (ZONA LESTE);08240620;20513277;;20536312;Ativa;74;SAO MIGUEL;7408;35271172;271172;161077132000000;13/12/2000;40.139;12/12/2000;08/02/2001;08/05/2007;VILA PROGRESSO;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23522945;-46436186;DIR;28/02/2017
G;019208;EMEF;LUIZ ROBERTO MEGA, PROF.;GUAIANASES;CIDADE TIRADENTES;;RUA HENRIQUE ADAMUS;16;JARDIM AUREA;08421107;25555733;25554945;;Ativa;25;CIDADE TIRADENTES;2508;35233912;233912;161078181000000;17/07/1998;37.529;17/07/1998;14/08/1998;13/03/2001;CONJ. HABITACIONAL FAZENDA DO  CARMO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTG;MTG;MT;MT;MT;MT;MT;MT;MT;-23565278;-46417465;DIR;28/02/2017
IQ;019209;EMEI;LUIS BIRAGHI, MONSENHOR;ITAQUERA;ITAQUERA;;RUA JOAQUIM FERREIRA DE OLIVEIRA;50;JARDIM NOSSA SENHORA DO CARMO;08270480;25249860;25225624;;Ativa;57;PARQUE DO CARMO;5702;35271135;271135;161076162000000;13/12/2000;40.139;12/12/2000;08/02/2001;08/05/2007;VILA CHUCA;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23565876;-46460245;DIR;28/02/2017
CS;019210;EMEI;ORLANDO VILLAS BOAS;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;AVENIDA PAULO COSTA RIBEIRO BASTOS;S/N;JARDIM GUANHEMBU;04814720;56622426;56618474;;Ativa;23;CIDADE DUTRA;2305;35271238;271238;161075109000000;13/12/2000;40.139;12/12/2000;05/02/2011;18/03/2010;JARDIM PLANALTO;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23731129;-46685838;DIR;28/02/2017
CL;019211;EMEI;MITSUTANI;CAMPO LIMPO;CAMPO LIMPO;;ESTRADA PIRAJUSSARA-VALO VELHO;1419;JARDIM MITSUTANI;05791220;58259756;58212103;;Ativa;19;CAPAO REDONDO;1901;35271214;271214;161072121000000;13/12/2000;40.139;12/12/2000;20/02/2001;08/05/2007;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23647515;-46789957;DIR;28/02/2017
PJ;019212;EMEI;ANTONIETA DE BARROS, PROFA;PIRITUBA;PIRITUBA;;ESTRADA DAS TAIPAS;1800;JARDIM RINCÃO;02991000;39417165;;39416398;Ativa;42;JARAGUA;4205;35271056;271056;161071100000000;13/12/2000;40.139;12/12/2000;14/02/2001;08/05/2007;CITY JARAGUA II;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23440486;-46732639;DIR;28/02/2017
CS;019213;EMEI;RECANTO CAMPO BELO - DIRCE ZILLESG BORGES DOS SANTOS, PROFA;CAPELA DO SOCORRO;PARELHEIROS;;RUA MARCELO BERNARDINI;S/N;RECANTO CAMPO BELO;04880080;59215480;59215490;;Ativa;55;PARELHEIROS;5503;35271251;271251;161075169000000;13/12/2000;40.139;12/12/2000;15/02/2001;08/05/2007;RECANTO CAMPO BELO;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23798840;-46736562;DIR;28/02/2017
IQ;019214;CEU EMEI;JARDIM VILA NOVA;ITAQUERA;ITAQUERA;AZUL DA COR DO MAR;AVENIDA ERNESTO SOUZA CRUZ;2171;CIDADE ANTÔNIO ESTEVÃO DE CARVALHO;08225380;33979000;;;Ativa;37;ITAQUERA;3706;35271100;271100;161076510000200;13/12/2000;40.139;12/12/2000;08/02/2001;04/09/2009;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23521829;-46456952;DIR;28/02/2017
PJ;019215;EMEF;REMO RINALDI NADDEO, PROF.;PIRITUBA;PERUS;;RUA DIONÍSIO BELLANTE;487;JARDIM SANTA FÉ (ZONA OESTE);05271150;39117746;39117772;;Ativa;03;ANHANGUERA;0308;35271019;271019;161071193000000;13/12/2000;40.139;12/12/2000;08/02/2001;08/05/2007;MORRO DOCE;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23432489;-46794255;DIR;28/02/2017
SM;019216;EMEF;THEREZA MACIEL DE PAULA PROFA.;SAO MATEUS;SAO MATEUS;;RUA JORGE CARLOS DE ALMEIDA;66;JARDIM SANTO ANDRÉ;08390355;27517342;27517340;;Ativa;75;SAO RAFAEL;7505;35233900;233900;161080156000000;17/07/1998;37.532;17/07/1998;27/07/1998;13/03/2001;JARDIM SANTO ANDRE;2D;2D;2D;2D;2D;3D;3D;3D;3D;3D;3D;MTN;MTN;MTN;MTN;MTN;MIVN;MIVN;MIVN;MIVN;-23630846;-46443374;DIR;28/02/2017
PJ;019217;EMEF;RECANTO DOS HUMILDES;PIRITUBA;PERUS;;RUA ARGÉLIA;S/N;JARDIM DA CONQUISTA (ZONA OESTE);05212020;39177804;;39188872;Ativa;61;PERUS;6101;35271081;271081;161071206000000;13/12/2000;40.139;12/12/2000;14/02/2001;08/05/2007;;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23417754;-46748369;DIR;28/02/2017
PJ;019218;EMEF;JARDIM MONTE BELO;PIRITUBA;PERUS;;RUA PALMEIRÓPOLIS;S/N;JARDIM MONTE BELO;05272005;39112741;39117588;39117588;Ativa;03;ANHANGUERA;0306;35271020;271020;161071191000000;13/12/2000;40.139;12/12/2000;12/02/2001;08/05/2007;;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23444254;-46800671;DIR;28/02/2017
PJ;019219;EMEF;ENZO ANTONIO SILVESTRIN, PROF;PIRITUBA;PIRITUBA;;ESTRADA DO CONGO;204;JARDIM PIRITUBA;02984090;39451994;;39415895;Ativa;42;JARAGUA;4208;35271068;271068;161071120000000;13/12/2000;40.139;12/12/2000;05/03/2001;08/05/2007;ESTRADA DO CONGO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MT;MT;MT;MT;MTN;MTN;MTN;MTN;MTN;-23443038;-46720664;DIR;28/02/2017
PJ;019220;EMEF;MARIO LAGO;PIRITUBA;PIRITUBA;;RUA DOURADA;S/N;COHAB JARDIM PAULISTANO;02820090;39725654;39729229;39725654;Ativa;42;JARAGUA;4209;35271073;271073;161071108000000;13/12/2000;40.139;12/12/2000;09/02/2001;08/05/2007;DOURADA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23449415;-46708067;DIR;28/02/2017
SM;019221;EMEF;JARDIM DAS LARANJEIRAS;SAO MATEUS;SAO MATEUS;;RUA LUISA SARAZIM;139;JARDIM BANDEIRANTE;08372100;27310555;;;Ativa;33;IGUATEMI;3304;35271147;271147;161080115000000;13/12/2000;40.139;12/12/2000;08/02/2001;08/05/2007;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23605043;-46435664;DIR;28/02/2017
CL;019222;EMEF;VEREMUNDO TOTH, DOM;CAMPO LIMPO;CAMPO LIMPO;;RUA JOSÉ PEDRO DE CARVALHO LIMA;100;JARDIM PARQUE MORUMBI;05712080;37427124;37429911;;Ativa;83;VILA ANDRADE;8302;35271226;271226;161072170000000;13/12/2000;40.139;12/12/2000;08/02/2001;08/05/2007;PARAISOPOLIS;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23622482;-46728606;DIR;28/02/2017
SM;019223;EMEF;MARIA APARECIDA VILASBOAS, PROFA.;SAO MATEUS;SAO MATEUS;;RUA DOS LIRIOS;2;PARQUE DAS FLORES;08391280;27539100;27512399;;Ativa;75;SAO RAFAEL;7505;35271196;271196;161080150000000;13/12/2000;40.139;12/12/2000;08/02/2001;08/05/2007;PARQUE DAS FLORES;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23639636;-46446497;DIR;28/02/2017
PJ;019224;EMEF;MILENA BENEDICTO, PROFA;PIRITUBA;PERUS;;AVENIDA FELIPPO STURBA;25;JARDIM ANHANGÜERA;05267200;39112577;39165364;;Ativa;03;ANHANGUERA;0307;35233882;233882;161071186000000;17/07/1998;37.533;17/07/1998;18/07/1998;13/03/2001;JARDIM BRITANIA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23438592;-46788790;DIR;28/02/2017
MP;019225;EMEF;WANDA OVIDIO GONCALVES, PROFA.;SAO MIGUEL;ITAIM PAULISTA;;RUA ARISTIDES DE BASILE;18;JARDIM DAS OLIVEIRAS;08111730;25691251;25691250;25691251;Ativa;36;ITAIM PAULISTA;3602;35271159;271159;161077178000000;13/12/2000;40.139;12/12/2000;09/02/2001;08/05/2007;COHAB TEXIMA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23489368;-46386056;DIR;28/02/2017
MP;019226;CEU EMEF;MARIA CLARA MACHADO;SAO MIGUEL;ITAIM PAULISTA;PARQUE VEREDAS;RUA DANIEL MULLER;347;CHÁCARA DONA OLÍVIA;08141290;2563-6231;;;Ativa;36;ITAIM PAULISTA;3609;35271160;271160;161077520000200;13/12/2000;40.139;12/12/2000;08/02/2001;08/05/2007;FAZENDA ITAIM;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTNG;MTNG;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23513365;-46389651;DIR;28/02/2017
IQ;019227;CEU EMEF;CONCEICAO APARECIDA DE JESUS, PROFA;ITAQUERA;ITAQUERA;AZUL DA COR DO MAR;AVENIDA ERNESTO SOUZA CRUZ;2171;CIDADE ANTÔNIO ESTEVÃO DE CARVALHO;08225380;33979049;33979056;;Ativa;37;ITAQUERA;3706;35271111;271111;161076510000300;13/12/2000;40.139;12/12/2000;08/02/2001;;JARDIM VILA NOVA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23521829;-46456952;DIR;28/02/2017
CS;019228;EMEF;JOSE PEGORARO, PE.;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA PORTUNHOS;S/N;PARQUE COCAIA;04850190;59312726;59315427;;Ativa;30;GRAJAU;3009;35271248;271248;161075141000000;13/12/2000;40.139;12/12/2000;08/02/2001;08/05/2007;GRAJAU;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTG;MT;MT;MT;MT;MTN;MTN;MTN;MTN;-23753216;-46677172;DIR;28/02/2017
PJ;019229;EMEF;JOSUE DE CASTRO, PROF;PIRITUBA;LAPA;;RUA JOSE SOEIRO DE VAZ;362;JARDIM MARISA;05108130;36213737;36228266;36228266;Ativa;40;JAGUARA;4001;35271032;271032;161071169000000;13/12/2000;40.139;12/12/2000;22/02/2001;04/09/2009;VILA PIAUI;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23507711;-46758754;DIR;28/02/2017
PE;019230;EMEI;NENE DO AMANHA;PENHA;PENHA;;RUA ALVINOPOLIS;1360;VILA BEATRIZ;03644070;26477490;29582355;;Ativa;59;PENHA;5902;35271123;271123;161074135000000;13/12/2000;40.140;12/12/2000;13/08/2008;13/08/2008;REMO RINALDI NADDEO, PROF.;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23530999;-46531725;DIR;28/02/2017
IQ;019231;EMEI;GLEBA DO PESSEGO;ITAQUERA;ITAQUERA;;RUA DEMETER;200;GLEBA DO PÊSSEGO;08265300;25226487;;25228763;Ativa;57;PARQUE DO CARMO;5705;35271792;271792;161076159000000;24/03/2001;40.353;23/03/2001;23/03/2001;08/05/2007;;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MIV;-23584328;-46451303;DIR;28/02/2017
SM;019232;EMEF;FAZENDA DA JUTA;SAO MATEUS;SAPOPEMBA;;RUA LUCAS LOSSIUS;95;JARDIM SANTA ADÉLIA;03974100;29623355;29624638;;Ativa;76;SAPOPEMBA;7605;35233997;233997;161080186000000;05/08/1998;37.558;05/08/1998;08/02/1999;13/03/2001;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23621948;-46485373;DIR;28/02/2017
PJ;019233;EMEF;EDGARD CARONE;PIRITUBA;PERUS;;RUA ELISA DINA;293;JARDIM BRITANIA;05269060;39111658;39113068;39113068;Ativa;03;ANHANGUERA;0307;35275013;275013;161071189000000;19/07/2001;40.900;18/07/2001;23/07/2001;08/05/2007;JARDIM BRITANIA ANEXO;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23433445;-46790857;DIR;28/02/2017
PE;019234;CEU EMEI;PAULO FREIRE, PROF.;PENHA;PENHA;TIQUATIRA;AVENIDA CONDESSA ELISABETH DE ROBIANO;S/N;VILA MOREIRA;03074000;20757482;20757480;;Ativa;59;PENHA;5901;35275323;275323;161074510000300;30/08/2001;41.057;29/08/2001;01/03/2002;13/08/2008;CINGAPURA CHAPARRAL;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23517591;-46554312;DIR;28/02/2017
SM;019235;EMEI;CONJ. HABITACIONAL SAO FRANCISCO;SAO MATEUS;SAO MATEUS;;TRAVESSA CORUJA DO CAMPO;100;JARDIM RODOLFO PIRANI;08311410;27516172;;27537908;Ativa;75;SAO RAFAEL;7504;35276133;276133;161080149000000;08/12/2001;41.465;07/12/2001;05/02/2002;25/06/2010;;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23631483;-46456736;DIR;28/02/2017
IQ;019236;EMEI;CONJ. HABITACIONAL GOITI;ITAQUERA;ITAQUERA;;RUA DOS LÍRIOS SN;S/N;VILA CAMPANELLA;08220280;20492478;20492972;;Ativa;37;ITAQUERA;3701;35276157;276157;161076124000000;21/12/2001;41.536;20/12/2001;14/02/2002;08/05/2007;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23538988;-46467994;DIR;28/02/2017
IP;019237;EMEI;SANTO DIAS DA SILVA;IPIRANGA;IPIRANGA;;PRACA MICHEL MATTAR;S/N;JARDIM PATENTE NOVO;04256215;29475077;;23520099;Ativa;68;SACOMA;6801;35279080;279080;161068136000000;27/02/2002;41.725;26/02/2002;12/04/2002;08/05/2007;JARDIM PATENTE;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23630982;-46590781;DIR;28/02/2017
MP;019238;EMEI;GLOBO DO SOL;SAO MIGUEL;SAO MIGUEL;;RUA GLOBO DO SOL;85;JARDIM PEDRO JOSE NUNES;08061290;29560518;29566180;29566180;Ativa;87;VILA JACUI;8703;35278920;278920;161077154000000;12/03/2002;41.773;11/03/2002;07/11/2002;08/05/2007;;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MIV;-23504514;-46463068;DIR;28/02/2017
CL;019239;EMEI;MAURO BAPTISTA, PE.;CAMPO LIMPO;CAMPO LIMPO;;RUA CATARINENSES;20;VILA ANDRADE;05728050;35013252;35012505;;Ativa;83;VILA ANDRADE;8301;35278932;278932;161072167000000;12/03/2002;41.774;11/03/2002;26/08/2002;08/05/2007;VILA ANDRADE;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23632043;-46741353;DIR;28/02/2017
SM;019240;EMEI;ALFREDO VOLPI;SAO MATEUS;SAPOPEMBA;;RUA GEORGE BEKESY;16;FAZENDA DA JUTA;03977015;20121055;20121655;20121055;Ativa;76;SAPOPEMBA;7605;35278944;278944;161080185000000;13/03/2002;41.785;12/03/2002;14/05/2002;08/05/2007;CONJ. HABITACIONAL FAZENDA DA JUTA A - 18;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23617601;-46485878;DIR;28/02/2017
MP;019241;EMEF;HELLIO TAVARES, DR.;SAO MIGUEL;ITAIM PAULISTA;;RUA PAULO TAPAJOS;654;ITAIM PAULISTA;08131360;25668599;;25668599;Ativa;36;ITAIM PAULISTA;3610;35233894;233894;161077162000000;08/09/1998;37.620;08/09/1998;08/02/1999;13/03/2001;ENCOSTA NORTE;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23504214;-46371894;DIR;28/02/2017
BT;019242;EMEI;MARIAZINHA REZENDE FUSARI, PROFA;BUTANTA;BUTANTA;;RUA EUDORO LINCOLN BERLINCK;118;JARDIM ARPOADOR;05565200;37827064;37827248;37827064;Ativa;65;RAPOSO TAVARES;6505;35279894;279894;161079124000000;17/05/2002;41.992;16/05/2002;02/09/2002;08/05/2007;JARDIM JOAO XXIII;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23595364;-46790479;DIR;28/02/2017
CS;019243;EMEF;MARINA MELANDER COUTINHO, PROFA;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;AVENIDA RUBENS MONTANARO DE BORBA;862;JARDIM REGIS;04811120;56692463;56690861;;Ativa;23;CIDADE DUTRA;2303;35280331;280331;161075107000000;04/07/2002;42.159;03/07/2002;05/09/2002;;IV CENTENARIO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23713704;-46691662;DIR;28/02/2017
SM;019244;EMEF;GIUSEPPE TAVOLARO, PROF;SAO MATEUS;SAPOPEMBA;;RUA ALEXANDRE GROPPALI;147;FAZENDA DA JUTA;03977414;29196487;;20100054;Ativa;76;SAPOPEMBA;7605;35280422;280422;161080183000000;16/07/2002;42196;15/07/2002;28/04/2003;;FAZENDA DA JUTA - A-07;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23613483;-46489323;DIR;28/02/2017
SM;019245;EMEI;APARECIDA CANDIDA DOS SANTOS DE JESUS - DONA CIDICA;SAO MATEUS;SAPOPEMBA;;RUA ALEXANDRE GROPPALI;179;FAZENDA DA JUTA;03977414;29624441;;20118238;Ativa;76;SAPOPEMBA;7605;35280434;280434;161080194000000;16/07/2002;42197;15/07/2002;02/09/2002;08/05/2007;FAZENDA DA JUTA - A-07;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23613513;-46489987;DIR;28/02/2017
G;019246;EMEI;RAUL NEMENZ, PROF;GUAIANASES;CIDADE TIRADENTES;;RUA ALFONSO ASTURARO;451;CONJUNTO HABITACIONAL BARRO BRANCO II;08473591;29648027;;22823477;Ativa;25;CIDADE TIRADENTES;2502;35280823;280823;161078140000000;16/08/2002;42291;15/08/2002;24/04/2003;08/05/2007;COHAB BARRO BRANCO II;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23585145;-46392224;DIR;28/02/2017
CL;019247;EMEF;TEREZINHA MOTA DE FIGUEIREDO;CAMPO LIMPO;CAMPO LIMPO;;RUA CANTORIAS PAULISTAS;20;CONJUNTO HABITACIONAL JARDIM SAO BENTO;05886490;58241160;58253208;58253208;Ativa;19;CAPAO REDONDO;1908;35280847;280847;161072137000000;16/08/2002;42293;15/08/2002;24/04/2003;08/05/2007;COHAB VALO VELHO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MT;MT;MT;MT;MT;MT;MTN;MTN;MTN;-23680331;-46794954;DIR;28/02/2017
